In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2020-03-01 22:43:00,2020-03-02 06:50:00,8:07,7:36,31,--,5:19,1:31,60,--,--
2020-03-02 22:52:00,2020-03-03 04:45:00,5:53,5:29,24,--,3:45,44,68,--,--
2020-03-03 21:40:00,2020-03-04 05:00:00,7:20,7:09,11,--,5:08,1:31,61,--,--
2020-03-04 21:30:00,2020-03-05 05:15:00,7:45,7:42,3,--,4:33,46,64,--,--
2020-03-05 22:16:00,2020-03-06 05:03:00,6:47,6:31,16,--,3:57,1:00,64,--,--
2020-03-06 22:11:00,2020-03-07 05:01:00,6:50,6:40,10,--,4:38,59,63,--,--
2020-03-07 21:15:00,2020-03-08 05:47:00,7:32,7:20,12,--,5:02,1:31,64,--,--
2020-03-08 22:00:00,2020-03-09 05:24:00,7:24,7:24,0,--,4:49,1:16,59,--,--
2020-03-09 21:30:00,2020-03-10 05:19:00,7:49,7:40,9,--,5:29,2:02,58,--,--
2020-03-10 23:12:00,2020-03-11 07:07:00,7:55,7:47,8,--,5:10,31,60,--,--
2020-03-11 23:45:00,2020-03-12 07:16:00,7:31,7:31,0,--,5:33,1:45,61,--,--
2020-03-12 19:00:00,2020-03-13 06:15:00,11:15,10:11,1:04,--,7:15,1:34,56,--,--
2020-03-14 01:00:00,2020-03-14 08:02:00,7:02,6:17,45,--,5:05,2:21,54,--,--
2020-03-14 23:58:00,2020-03-15 07:44:00,7:46,7:46,0,--,4:28,15,57,--,--
2020-03-15 21:16:00,2020-03-16 05:01:00,7:45,7:45,0,--,5:38,2:00,61,--,--
2020-03-16 22:45:00,2020-03-17 08:15:00,9:30,9:21,9,--,6:28,45,60,--,--
2020-03-17 23:46:00,2020-03-18 07:15:00,7:29,7:29,0,--,5:06,29,62,--,--
2020-03-18 21:12:00,2020-03-19 05:09:00,7:57,7:52,5,--,6:15,2:05,60,--,--
2020-03-19 22:31:00,2020-03-20 06:10:00,8:07,8:03,4,--,5:44,2:05,60,--,--
2020-03-21 22:31:00,2020-03-22 05:00:00,6:29,6:29,0,--,4:35,1:29,60,--,--
2019-10-06 21:11:19,2019-10-07 04:37:00,7:25,7:09,16,1,4:24,2:02,64,--,--
2019-10-07 21:30:00,2019-10-08 05:19:00,7:49,7:25,24,--,4:19,30,62,--,--
2019-10-08 21:00:00,2019-10-09 02:49:00,5:49,5:49,0,--,3:30,1:00,64,--,--
2019-10-09 21:00:00,2019-10-10 04:46:00,7:46,7:46,0,--,5:42,1:30,70,--,--
2019-10-10 22:33:00,2019-10-11 04:46:00,6:13,5:58,15,--,3:46,1:33,73,--,--
2019-10-11 21:12:00,2019-10-12 05:24:00,8:12,7:50,22,--,5:07,1:46,64,--,--
2019-10-12 20:44:48,2019-10-13 04:40:00,7:55,6:55,1:00,1:00,4:46,1:32,62,--,--
2019-10-13 20:02:26,2019-10-14 04:45:00,8:42,7:08,1:34,26,5:10,1:47,59,--,--
2019-10-14 21:05:00,2019-10-15 05:46:00,8:41,7:48,53,--,5:05,1:30,62,--,--
2019-10-15 21:00:00,2019-10-16 04:45:00,7:45,6:01,1:44,--,3:42,1:00,59,--,--
2019-10-16 21:34:00,2019-10-17 05:18:00,7:44,7:18,26,--,5:23,1:30,64,--,--
2019-10-17 21:04:24,2019-10-18 05:28:00,8:23,6:55,1:28,12,4:27,1:35,65,--,--
2019-10-18 21:52:00,2019-10-19 05:00:00,7:08,5:38,1:30,--,3:51,1:16,68,--,--
2019-10-19 21:47:00,2019-10-20 06:41:00,8:54,7:54,1:00,--,5:55,2:09,59,--,--
2019-10-20 22:02:00,2019-10-21 05:04:00,7:02,6:47,15,--,4:56,1:45,64,--,--
2019-10-21 21:00:00,2019-10-22 07:01:00,10:01,8:45,1:16,--,5:50,2:00,65,--,--
2019-10-22 21:30:00,2019-10-23 06:42:00,9:12,8:09,1:03,--,5:42,1:31,60,--,--
